timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691366192182,1381,HTTP Request,404,Not Found,ThreadLogin 1-3,text,false,,286180,243,8,8,https://www.daraz.com.bd/%20/,484,0,412
1691366192182,488,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-3,,true,,382,121,8,8,https://www.daraz.com.bd/%20,484,0,412
1691366192671,892,HTTP Request-1,404,Not Found,ThreadLogin 1-3,text,false,,285798,122,8,8,https://www.daraz.com.bd/%20/,213,0,0
1691366191718,1873,HTTP Request,404,Not Found,ThreadLogin 1-1,text,false,,286186,243,8,8,https://www.daraz.com.bd/%20/,947,0,875
1691366191718,951,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-1,,true,,382,121,8,8,https://www.daraz.com.bd/%20,947,0,875
1691366192671,920,HTTP Request-1,404,Not Found,ThreadLogin 1-1,text,false,,285804,122,8,8,https://www.daraz.com.bd/%20/,244,0,0
1691366192428,1193,HTTP Request,404,Not Found,ThreadLogin 1-4,text,false,,286233,243,8,8,https://www.daraz.com.bd/%20/,242,0,178
1691366191931,1690,HTTP Request,404,Not Found,ThreadLogin 1-2,text,false,,286140,243,8,8,https://www.daraz.com.bd/%20/,735,0,663
1691366192428,242,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-4,,true,,382,121,8,8,https://www.daraz.com.bd/%20,242,0,178
1691366191931,739,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-2,,true,,382,121,8,8,https://www.daraz.com.bd/%20,735,0,663
1691366192671,950,HTTP Request-1,404,Not Found,ThreadLogin 1-4,text,false,,285851,122,8,8,https://www.daraz.com.bd/%20/,213,0,0
1691366192671,950,HTTP Request-1,404,Not Found,ThreadLogin 1-2,text,false,,285758,122,8,8,https://www.daraz.com.bd/%20/,216,0,0
1691366192678,1102,HTTP Request,404,Not Found,ThreadLogin 1-5,text,false,,286162,243,9,9,https://www.daraz.com.bd/%20/,238,0,176
1691366192678,238,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-5,,true,,382,121,9,9,https://www.daraz.com.bd/%20,238,0,176
1691366192916,864,HTTP Request-1,404,Not Found,ThreadLogin 1-5,text,false,,285780,122,9,9,https://www.daraz.com.bd/%20/,69,0,0
1691366192928,1045,HTTP Request,404,Not Found,ThreadLogin 1-6,text,false,,286023,243,10,10,https://www.daraz.com.bd/%20/,239,0,178
1691366192928,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-6,,true,,382,121,10,10,https://www.daraz.com.bd/%20,239,0,178
1691366193167,806,HTTP Request-1,404,Not Found,ThreadLogin 1-6,text,false,,285641,122,10,10,https://www.daraz.com.bd/%20/,69,0,0
